group_ann	original	description	in.heating_fuel	in.hvac_combined_type	upgrade	shape_ts_cooling	shape_ts_heating	version
com_hvac_ann_1	ashp	ashp	Electricity	DOAS+Zone terminal equipment_ASHP_ASHP	0	com_cooling_ts_1	com_heating_ts_1	7/29/24
com_hvac_ann_1	ashp	ashp	Electricity	DOAS+Zone terminal equipment_WSHP_WSHP	0	com_cooling_ts_1	com_heating_ts_1	7/29/24
com_hvac_ann_1	ashp	ashp	Electricity	Central Single-zone RTU_ASHP_ASHP	0	com_cooling_ts_1	com_heating_ts_1	7/29/24
com_hvac_ann_1	ashp	ashp	Electricity	Zone terminal equipment_ASHP_ASHP	0	com_cooling_ts_1	com_heating_ts_1	7/29/24
com_hvac_ann_10	ng boiler+rtac	"ng boiler+rtac to HP Boiler, Electric Backup"	DistrictHeating	Central Single-zone RTU_District_DX	8	com_cooling_ts_4	com_heating_ts_4	7/29/24
com_hvac_ann_10	ng boiler+rtac	"ng boiler+rtac to HP Boiler, Electric Backup"	DistrictHeating	Central Multi-zone VAV RTU_District_DX	8	com_cooling_ts_4	com_heating_ts_4	7/29/24
com_hvac_ann_10	ng boiler+rtac	"ng boiler+rtac to HP Boiler, Electric Backup"	NaturalGas	Central Single-zone RTU_Boiler _Evaporative Cooling	8	com_cooling_ts_4	com_heating_ts_4	7/29/24
com_hvac_ann_10	ng boiler+rtac	"ng boiler+rtac to HP Boiler, Electric Backup"	NaturalGas	Central Single-zone RTU_Boiler _DX	8	com_cooling_ts_4	com_heating_ts_4	7/29/24
com_hvac_ann_10	ng boiler+rtac	"ng boiler+rtac to HP Boiler, Electric Backup"	NaturalGas	Zone terminal equipment_Boiler _DX	8	com_cooling_ts_4	com_heating_ts_4	7/29/24
com_hvac_ann_10	ng boiler+rtac	"ng boiler+rtac to HP Boiler, Electric Backup"	NaturalGas	Central Multi-zone VAV RTU_Boiler _DX	8	com_cooling_ts_4	com_heating_ts_4	7/29/24
com_hvac_ann_11	ng boiler+rtac	"ng boiler+rtac to HP Boiler, Gas Backup"	DistrictHeating	Central Single-zone RTU_District_DX	9	com_cooling_ts_4	com_heating_ts_5	7/29/24
com_hvac_ann_11	ng boiler+rtac	"ng boiler+rtac to HP Boiler, Gas Backup"	DistrictHeating	Central Multi-zone VAV RTU_District_DX	9	com_cooling_ts_4	com_heating_ts_5	7/29/24
com_hvac_ann_11	ng boiler+rtac	"ng boiler+rtac to HP Boiler, Gas Backup"	NaturalGas	Central Single-zone RTU_Boiler _Evaporative Cooling	9	com_cooling_ts_4	com_heating_ts_5	7/29/24
com_hvac_ann_11	ng boiler+rtac	"ng boiler+rtac to HP Boiler, Gas Backup"	NaturalGas	Central Single-zone RTU_Boiler _DX	9	com_cooling_ts_4	com_heating_ts_5	7/29/24
com_hvac_ann_11	ng boiler+rtac	"ng boiler+rtac to HP Boiler, Gas Backup"	NaturalGas	Zone terminal equipment_Boiler _DX	9	com_cooling_ts_4	com_heating_ts_5	7/29/24
com_hvac_ann_11	ng boiler+rtac	"ng boiler+rtac to HP Boiler, Gas Backup"	NaturalGas	Central Multi-zone VAV RTU_Boiler _DX	9	com_cooling_ts_4	com_heating_ts_5	7/29/24
com_hvac_ann_12	ng furnace+cac&rac	ng furnace+cac&rac	NaturalGas	Residential forced air_Furnace_DX	0	com_cooling_ts_7	com_heating_ts_8	7/29/24
com_hvac_ann_12	ng furnace+cac&rac	ng furnace+cac&rac	NaturalGas	Residential forced air_Furnace_None	0	com_cooling_ts_7	com_heating_ts_8	7/29/24
com_hvac_ann_13	ng furnace+cac&rac	"ng furnace+cac&rac to Variable Speed HP RTU, Electric Backup"	NaturalGas	Residential forced air_Furnace_DX	1	com_cooling_ts_1	com_heating_ts_1	7/29/24
com_hvac_ann_13	ng furnace+cac&rac	"ng furnace+cac&rac to Variable Speed HP RTU, Electric Backup"	NaturalGas	Residential forced air_Furnace_None	1	com_cooling_ts_1	com_heating_ts_1	7/29/24
com_hvac_ann_14	ng furnace+cac&rac	"ng furnace+cac&rac to Variable Speed HP RTU, Electric Backup, Energy Recovery"	NaturalGas	Residential forced air_Furnace_DX	3	com_cooling_ts_2	com_heating_ts_3	7/29/24
com_hvac_ann_14	ng furnace+cac&rac	"ng furnace+cac&rac to Variable Speed HP RTU, Electric Backup, Energy Recovery"	NaturalGas	Residential forced air_Furnace_None	3	com_cooling_ts_2	com_heating_ts_3	7/29/24
com_hvac_ann_15	ng furnace+cac&rac	"ng furnace+cac&rac to Variable Speed HP RTU, Original Heating Fuel Backup"	NaturalGas	Residential forced air_Furnace_DX	2	com_cooling_ts_1	com_heating_ts_2	7/29/24
com_hvac_ann_15	ng furnace+cac&rac	"ng furnace+cac&rac to Variable Speed HP RTU, Original Heating Fuel Backup"	NaturalGas	Residential forced air_Furnace_None	2	com_cooling_ts_1	com_heating_ts_2	7/29/24
com_hvac_ann_16	ng furnace+rtac	ng furnace+rtac	Electricity	Central Multi-zone VAV RTU_Furnace_DX	0	com_cooling_ts_6	com_heating_ts_8	7/29/24
com_hvac_ann_16	ng furnace+rtac	ng furnace+rtac	NaturalGas	Central Single-zone RTU_Furnace_Evaporative Cooling	0	com_cooling_ts_6	com_heating_ts_8	7/29/24
com_hvac_ann_16	ng furnace+rtac	ng furnace+rtac	NaturalGas	Zone terminal equipment_Furnace_None	0	com_cooling_ts_6	com_heating_ts_8	7/29/24
com_hvac_ann_16	ng furnace+rtac	ng furnace+rtac	NaturalGas	Central Single-zone RTU_Furnace_DX	0	com_cooling_ts_6	com_heating_ts_8	7/29/24
com_hvac_ann_16	ng furnace+rtac	ng furnace+rtac	NaturalGas	Zone terminal equipment_Furnace_DX	0	com_cooling_ts_6	com_heating_ts_8	7/29/24
com_hvac_ann_17	ng furnace+rtac	"ng furnace+rtac to Variable Speed HP RTU, Electric Backup"	Electricity	Central Multi-zone VAV RTU_Furnace_DX	1	com_cooling_ts_1	com_heating_ts_1	7/29/24
com_hvac_ann_17	ng furnace+rtac	"ng furnace+rtac to Variable Speed HP RTU, Electric Backup"	NaturalGas	Central Single-zone RTU_Furnace_Evaporative Cooling	1	com_cooling_ts_1	com_heating_ts_1	7/29/24
com_hvac_ann_17	ng furnace+rtac	"ng furnace+rtac to Variable Speed HP RTU, Electric Backup"	NaturalGas	Zone terminal equipment_Furnace_None	1	com_cooling_ts_1	com_heating_ts_1	7/29/24
com_hvac_ann_17	ng furnace+rtac	"ng furnace+rtac to Variable Speed HP RTU, Electric Backup"	NaturalGas	Central Single-zone RTU_Furnace_DX	1	com_cooling_ts_1	com_heating_ts_1	7/29/24
com_hvac_ann_17	ng furnace+rtac	"ng furnace+rtac to Variable Speed HP RTU, Electric Backup"	NaturalGas	Zone terminal equipment_Furnace_DX	1	com_cooling_ts_1	com_heating_ts_1	7/29/24
com_hvac_ann_18	ng furnace+rtac	"ng furnace+rtac to Variable Speed HP RTU, Electric Backup, Energy Recovery"	Electricity	Central Multi-zone VAV RTU_Furnace_DX	3	com_cooling_ts_2	com_heating_ts_3	7/29/24
com_hvac_ann_18	ng furnace+rtac	"ng furnace+rtac to Variable Speed HP RTU, Electric Backup, Energy Recovery"	NaturalGas	Central Single-zone RTU_Furnace_Evaporative Cooling	3	com_cooling_ts_2	com_heating_ts_3	7/29/24
com_hvac_ann_18	ng furnace+rtac	"ng furnace+rtac to Variable Speed HP RTU, Electric Backup, Energy Recovery"	NaturalGas	Zone terminal equipment_Furnace_None	3	com_cooling_ts_2	com_heating_ts_3	7/29/24
com_hvac_ann_18	ng furnace+rtac	"ng furnace+rtac to Variable Speed HP RTU, Electric Backup, Energy Recovery"	NaturalGas	Central Single-zone RTU_Furnace_DX	3	com_cooling_ts_2	com_heating_ts_3	7/29/24
com_hvac_ann_18	ng furnace+rtac	"ng furnace+rtac to Variable Speed HP RTU, Electric Backup, Energy Recovery"	NaturalGas	Zone terminal equipment_Furnace_DX	3	com_cooling_ts_2	com_heating_ts_3	7/29/24
com_hvac_ann_19	ng furnace+rtac	"ng furnace+rtac to Variable Speed HP RTU, Original Heating Fuel Backup"	Electricity	Central Multi-zone VAV RTU_Furnace_DX	2	com_cooling_ts_1	com_heating_ts_2	7/29/24
com_hvac_ann_19	ng furnace+rtac	"ng furnace+rtac to Variable Speed HP RTU, Original Heating Fuel Backup"	NaturalGas	Central Single-zone RTU_Furnace_Evaporative Cooling	2	com_cooling_ts_1	com_heating_ts_2	7/29/24
com_hvac_ann_19	ng furnace+rtac	"ng furnace+rtac to Variable Speed HP RTU, Original Heating Fuel Backup"	NaturalGas	Zone terminal equipment_Furnace_None	2	com_cooling_ts_1	com_heating_ts_2	7/29/24
com_hvac_ann_19	ng furnace+rtac	"ng furnace+rtac to Variable Speed HP RTU, Original Heating Fuel Backup"	NaturalGas	Central Single-zone RTU_Furnace_DX	2	com_cooling_ts_1	com_heating_ts_2	7/29/24
com_hvac_ann_19	ng furnace+rtac	"ng furnace+rtac to Variable Speed HP RTU, Original Heating Fuel Backup"	NaturalGas	Zone terminal equipment_Furnace_DX	2	com_cooling_ts_1	com_heating_ts_2	7/29/24
com_hvac_ann_2	ashp	"ashp to Variable Speed HP RTU, Electric Backup"	Electricity	DOAS+Zone terminal equipment_ASHP_ASHP	1	com_cooling_ts_1	com_heating_ts_1	7/29/24
com_hvac_ann_2	ashp	"ashp to Variable Speed HP RTU, Electric Backup"	Electricity	DOAS+Zone terminal equipment_WSHP_WSHP	1	com_cooling_ts_1	com_heating_ts_1	7/29/24
com_hvac_ann_2	ashp	"ashp to Variable Speed HP RTU, Electric Backup"	Electricity	Central Single-zone RTU_ASHP_ASHP	1	com_cooling_ts_1	com_heating_ts_1	7/29/24
com_hvac_ann_2	ashp	"ashp to Variable Speed HP RTU, Electric Backup"	Electricity	Zone terminal equipment_ASHP_ASHP	1	com_cooling_ts_1	com_heating_ts_1	7/29/24
com_hvac_ann_3	ashp	"ashp to Variable Speed HP RTU, Electric Backup, Energy Recovery"	Electricity	DOAS+Zone terminal equipment_ASHP_ASHP	3	com_cooling_ts_2	com_heating_ts_3	7/29/24
com_hvac_ann_3	ashp	"ashp to Variable Speed HP RTU, Electric Backup, Energy Recovery"	Electricity	DOAS+Zone terminal equipment_WSHP_WSHP	3	com_cooling_ts_2	com_heating_ts_3	7/29/24
com_hvac_ann_3	ashp	"ashp to Variable Speed HP RTU, Electric Backup, Energy Recovery"	Electricity	Central Single-zone RTU_ASHP_ASHP	3	com_cooling_ts_2	com_heating_ts_3	7/29/24
com_hvac_ann_3	ashp	"ashp to Variable Speed HP RTU, Electric Backup, Energy Recovery"	Electricity	Zone terminal equipment_ASHP_ASHP	3	com_cooling_ts_2	com_heating_ts_3	7/29/24
com_hvac_ann_4	ghsp	ghsp	Electricity	DOAS+Zone terminal equipment_GSHP_GSHP	0	com_cooling_ts_8	com_heating_ts_6	7/29/24
com_hvac_ann_5	ghsp	"ghsp to Comprehensive Geothermal Heat Pump Package, Hydronic GHP, Packaged GHP, or Console GHP"	Electricity	DOAS+Zone terminal equipment_GSHP_GSHP	18	com_cooling_ts_8	com_heating_ts_6	7/29/24
com_hvac_ann_6	ng boiler+chiller	ng boiler+chiller	DistrictHeating	DOAS+Zone terminal equipment_District_ACC	0	com_cooling_ts_5	com_heating_ts_9	7/29/24
com_hvac_ann_6	ng boiler+chiller	ng boiler+chiller	DistrictHeating	DOAS+Zone terminal equipment_District_WCC	0	com_cooling_ts_5	com_heating_ts_9	7/29/24
com_hvac_ann_6	ng boiler+chiller	ng boiler+chiller	DistrictHeating	DOAS+Zone terminal equipment_District_District	0	com_cooling_ts_5	com_heating_ts_9	7/29/24
com_hvac_ann_6	ng boiler+chiller	ng boiler+chiller	DistrictHeating	Central Multi-zone VAV RTU_District_ACC	0	com_cooling_ts_5	com_heating_ts_9	7/29/24
com_hvac_ann_6	ng boiler+chiller	ng boiler+chiller	DistrictHeating	Central Multi-zone VAV RTU_District_WCC	0	com_cooling_ts_5	com_heating_ts_9	7/29/24
com_hvac_ann_6	ng boiler+chiller	ng boiler+chiller	DistrictHeating	Central Multi-zone VAV RTU_District_District	0	com_cooling_ts_5	com_heating_ts_9	7/29/24
com_hvac_ann_6	ng boiler+chiller	ng boiler+chiller	NaturalGas	DOAS+Zone terminal equipment_Boiler _ACC	0	com_cooling_ts_5	com_heating_ts_9	7/29/24
com_hvac_ann_6	ng boiler+chiller	ng boiler+chiller	NaturalGas	DOAS+Zone terminal equipment_Boiler _WCC	0	com_cooling_ts_5	com_heating_ts_9	7/29/24
com_hvac_ann_6	ng boiler+chiller	ng boiler+chiller	NaturalGas	DOAS+Zone terminal equipment_Boiler _District	0	com_cooling_ts_5	com_heating_ts_9	7/29/24
com_hvac_ann_6	ng boiler+chiller	ng boiler+chiller	NaturalGas	Central Multi-zone VAV RTU_Boiler _ACC	0	com_cooling_ts_5	com_heating_ts_9	7/29/24
com_hvac_ann_6	ng boiler+chiller	ng boiler+chiller	NaturalGas	Central Multi-zone VAV RTU_Boiler _WCC	0	com_cooling_ts_5	com_heating_ts_9	7/29/24
com_hvac_ann_6	ng boiler+chiller	ng boiler+chiller	NaturalGas	Central Multi-zone VAV RTU_Boiler _District	0	com_cooling_ts_5	com_heating_ts_9	7/29/24
com_hvac_ann_7	ng boiler+chiller	"ng boiler+chiller to HP Boiler, Electric Backup"	DistrictHeating	DOAS+Zone terminal equipment_District_ACC	8	com_cooling_ts_4	com_heating_ts_4	7/29/24
com_hvac_ann_7	ng boiler+chiller	"ng boiler+chiller to HP Boiler, Electric Backup"	DistrictHeating	DOAS+Zone terminal equipment_District_WCC	8	com_cooling_ts_4	com_heating_ts_4	7/29/24
com_hvac_ann_7	ng boiler+chiller	"ng boiler+chiller to HP Boiler, Electric Backup"	DistrictHeating	DOAS+Zone terminal equipment_District_District	8	com_cooling_ts_4	com_heating_ts_4	7/29/24
com_hvac_ann_7	ng boiler+chiller	"ng boiler+chiller to HP Boiler, Electric Backup"	DistrictHeating	Central Multi-zone VAV RTU_District_ACC	8	com_cooling_ts_4	com_heating_ts_4	7/29/24
com_hvac_ann_7	ng boiler+chiller	"ng boiler+chiller to HP Boiler, Electric Backup"	DistrictHeating	Central Multi-zone VAV RTU_District_WCC	8	com_cooling_ts_4	com_heating_ts_4	7/29/24
com_hvac_ann_7	ng boiler+chiller	"ng boiler+chiller to HP Boiler, Electric Backup"	DistrictHeating	Central Multi-zone VAV RTU_District_District	8	com_cooling_ts_4	com_heating_ts_4	7/29/24
com_hvac_ann_7	ng boiler+chiller	"ng boiler+chiller to HP Boiler, Electric Backup"	NaturalGas	DOAS+Zone terminal equipment_Boiler _ACC	8	com_cooling_ts_4	com_heating_ts_4	7/29/24
com_hvac_ann_7	ng boiler+chiller	"ng boiler+chiller to HP Boiler, Electric Backup"	NaturalGas	DOAS+Zone terminal equipment_Boiler _WCC	8	com_cooling_ts_4	com_heating_ts_4	7/29/24
com_hvac_ann_7	ng boiler+chiller	"ng boiler+chiller to HP Boiler, Electric Backup"	NaturalGas	DOAS+Zone terminal equipment_Boiler _District	8	com_cooling_ts_4	com_heating_ts_4	7/29/24
com_hvac_ann_7	ng boiler+chiller	"ng boiler+chiller to HP Boiler, Electric Backup"	NaturalGas	Central Multi-zone VAV RTU_Boiler _ACC	8	com_cooling_ts_4	com_heating_ts_4	7/29/24
com_hvac_ann_7	ng boiler+chiller	"ng boiler+chiller to HP Boiler, Electric Backup"	NaturalGas	Central Multi-zone VAV RTU_Boiler _WCC	8	com_cooling_ts_4	com_heating_ts_4	7/29/24
com_hvac_ann_7	ng boiler+chiller	"ng boiler+chiller to HP Boiler, Electric Backup"	NaturalGas	Central Multi-zone VAV RTU_Boiler _District	8	com_cooling_ts_4	com_heating_ts_4	7/29/24
com_hvac_ann_8	ng boiler+chiller	"ng boiler+chiller to HP Boiler, Gas Backup"	DistrictHeating	DOAS+Zone terminal equipment_District_ACC	9	com_cooling_ts_4	com_heating_ts_5	7/29/24
com_hvac_ann_8	ng boiler+chiller	"ng boiler+chiller to HP Boiler, Gas Backup"	DistrictHeating	DOAS+Zone terminal equipment_District_WCC	9	com_cooling_ts_4	com_heating_ts_5	7/29/24
com_hvac_ann_8	ng boiler+chiller	"ng boiler+chiller to HP Boiler, Gas Backup"	DistrictHeating	DOAS+Zone terminal equipment_District_District	9	com_cooling_ts_4	com_heating_ts_5	7/29/24
com_hvac_ann_8	ng boiler+chiller	"ng boiler+chiller to HP Boiler, Gas Backup"	DistrictHeating	Central Multi-zone VAV RTU_District_ACC	9	com_cooling_ts_4	com_heating_ts_5	7/29/24
com_hvac_ann_8	ng boiler+chiller	"ng boiler+chiller to HP Boiler, Gas Backup"	DistrictHeating	Central Multi-zone VAV RTU_District_WCC	9	com_cooling_ts_4	com_heating_ts_5	7/29/24
com_hvac_ann_8	ng boiler+chiller	"ng boiler+chiller to HP Boiler, Gas Backup"	DistrictHeating	Central Multi-zone VAV RTU_District_District	9	com_cooling_ts_4	com_heating_ts_5	7/29/24
com_hvac_ann_8	ng boiler+chiller	"ng boiler+chiller to HP Boiler, Gas Backup"	NaturalGas	DOAS+Zone terminal equipment_Boiler _ACC	9	com_cooling_ts_4	com_heating_ts_5	7/29/24
com_hvac_ann_8	ng boiler+chiller	"ng boiler+chiller to HP Boiler, Gas Backup"	NaturalGas	DOAS+Zone terminal equipment_Boiler _WCC	9	com_cooling_ts_4	com_heating_ts_5	7/29/24
com_hvac_ann_8	ng boiler+chiller	"ng boiler+chiller to HP Boiler, Gas Backup"	NaturalGas	DOAS+Zone terminal equipment_Boiler _District	9	com_cooling_ts_4	com_heating_ts_5	7/29/24
com_hvac_ann_8	ng boiler+chiller	"ng boiler+chiller to HP Boiler, Gas Backup"	NaturalGas	Central Multi-zone VAV RTU_Boiler _ACC	9	com_cooling_ts_4	com_heating_ts_5	7/29/24
com_hvac_ann_8	ng boiler+chiller	"ng boiler+chiller to HP Boiler, Gas Backup"	NaturalGas	Central Multi-zone VAV RTU_Boiler _WCC	9	com_cooling_ts_4	com_heating_ts_5	7/29/24
com_hvac_ann_8	ng boiler+chiller	"ng boiler+chiller to HP Boiler, Gas Backup"	NaturalGas	Central Multi-zone VAV RTU_Boiler _District	9	com_cooling_ts_4	com_heating_ts_5	7/29/24
com_hvac_ann_9	ng boiler+rtac	ng boiler+rtac	DistrictHeating	Central Single-zone RTU_District_DX	0	com_cooling_ts_6	com_heating_ts_9	7/29/24
com_hvac_ann_9	ng boiler+rtac	ng boiler+rtac	DistrictHeating	Central Multi-zone VAV RTU_District_DX	0	com_cooling_ts_6	com_heating_ts_9	7/29/24
com_hvac_ann_9	ng boiler+rtac	ng boiler+rtac	NaturalGas	Central Single-zone RTU_Boiler _Evaporative Cooling	0	com_cooling_ts_6	com_heating_ts_9	7/29/24
com_hvac_ann_9	ng boiler+rtac	ng boiler+rtac	NaturalGas	Central Single-zone RTU_Boiler _DX	0	com_cooling_ts_6	com_heating_ts_9	7/29/24
com_hvac_ann_9	ng boiler+rtac	ng boiler+rtac	NaturalGas	Zone terminal equipment_Boiler _DX	0	com_cooling_ts_6	com_heating_ts_9	7/29/24
com_hvac_ann_9	ng boiler+rtac	ng boiler+rtac	NaturalGas	Central Multi-zone VAV RTU_Boiler _DX	0	com_cooling_ts_6	com_heating_ts_9	7/29/24
com_hvac_ann_20	other fossil boiler+chiller	other fossil boiler+chiller	FuelOil	DOAS+Zone terminal equipment_Boiler _ACC	0	com_cooling_ts_5	com_heating_ts_9	7/29/24
com_hvac_ann_20	other fossil boiler+chiller	other fossil boiler+chiller	FuelOil	DOAS+Zone terminal equipment_Boiler _WCC	0	com_cooling_ts_5	com_heating_ts_9	7/29/24
com_hvac_ann_20	other fossil boiler+chiller	other fossil boiler+chiller	FuelOil	Central Multi-zone VAV RTU_Boiler _ACC	0	com_cooling_ts_5	com_heating_ts_9	7/29/24
com_hvac_ann_20	other fossil boiler+chiller	other fossil boiler+chiller	FuelOil	Central Multi-zone VAV RTU_Boiler _WCC	0	com_cooling_ts_5	com_heating_ts_9	7/29/24
com_hvac_ann_20	other fossil boiler+chiller	other fossil boiler+chiller	Propane	DOAS+Zone terminal equipment_Boiler _WCC	0	com_cooling_ts_5	com_heating_ts_9	7/29/24
com_hvac_ann_20	other fossil boiler+chiller	other fossil boiler+chiller	Propane	Central Multi-zone VAV RTU_Boiler _WCC	0	com_cooling_ts_5	com_heating_ts_9	7/29/24
