meas	end_use
(R) ESTAR HP TS (Resist. Heat, No Cool)	Heating (Equip.)
(R) ESTAR HP TS (Resist. Heat, No Cool)	Cooling (Equip.)
(C) Best HP FS (NG Boiler)	Heating (Equip.)
(C) Best HP FS (NG Boiler)	Cooling (Equip.)
(R) Ref. Case Gas Dryer	Other
(C) Ref. Case Refrigeration	Refrigeration
(R) Brk. HP TS (Resist. Heat, No Cool)	Heating (Equip.)
(R) Brk. HP TS (Resist. Heat, No Cool)	Cooling (Equip.)
(C) ESTAR HP Pt. FS (RTU, Other Fossil Heat)	Heating (Equip.)
(C) ESTAR HP Pt. FS (RTU, Other Fossil Heat)	Cooling (Equip.)
(R) Ref. Case Fans and Pumps	Other
(R) Ref. Case Gas WH	Water Heating
(R) Best Dishwasher	Other
(R) ESTAR GSHP (NG Furnace)	Heating (Equip.)
(R) ESTAR GSHP (NG Furnace)	Cooling (Equip.)
(C) Ref. Case Gas Range	Cooking
(R) Best HP Pt. FS (NG Heat, No Cool)	Heating (Equip.)
(R) Best HP Pt. FS (NG Heat, No Cool)	Cooling (Equip.)
(R) Best HP FS (NG Heat, No Cool)	Heating (Equip.)
(R) Best HP FS (NG Heat, No Cool)	Cooling (Equip.)
(R) Brk. HP FS (NG Boiler)	Heating (Equip.)
(R) Brk. HP FS (NG Boiler)	Cooling (Equip.)
(C) Ref. Case RTU, Other Fossil Heat	Heating (Equip.)
(C) Ref. Case RTU, Other Fossil Heat	Cooling (Equip.)
(R) Brk. HP FS (Other Fossil Heat, No Cool)	Heating (Equip.)
(R) Brk. HP FS (Other Fossil Heat, No Cool)	Cooling (Equip.)
(R) Best HP Pt. FS (Other Fossil Heat, No Cool)	Heating (Equip.)
(R) Best HP Pt. FS (Other Fossil Heat, No Cool)	Cooling (Equip.)
(R) ESTAR HP FS (NG Furnace)	Heating (Equip.)
(R) ESTAR HP FS (NG Furnace)	Cooling (Equip.)
(R) Best HP Pt. FS (Other Fossil Furnace)	Heating (Equip.)
(R) Best HP Pt. FS (Other Fossil Furnace)	Cooling (Equip.)
(R) Best Residential LED Lighting	Lighting
(C) Ref. Case NG Boiler & Chiller	Heating (Equip.)
(C) Ref. Case NG Boiler & Chiller	Cooling (Equip.)
(R) Ref. Case Other Fossil Furnace & AC	Heating (Equip.)
(R) Ref. Case Other Fossil Furnace & AC	Cooling (Equip.)
(R) Ref. Case Bio or No Heat & AC	Heating (Equip.)
(R) Ref. Case Bio or No Heat & AC	Cooling (Equip.)
(C) Ref. Case Plug Loads	Computers and Electronics
(R) Ref. Case Misc. Electric Appliances	Refrigeration
(R) Ref. Case Misc. Electric Appliances	Other
(C) Best HP FS (NG Furnace & AC)	Heating (Equip.)
(C) Best HP FS (NG Furnace & AC)	Cooling (Equip.)
(R) Best HP TS (Resist. Heat, No Cool)	Heating (Equip.)
(R) Best HP TS (Resist. Heat, No Cool)	Cooling (Equip.)
(R) ESTAR HP TS (Resist.)	Heating (Equip.)
(R) ESTAR HP TS (Resist.)	Cooling (Equip.)
(R) Best HP FS (Other Fossil Furnace)	Heating (Equip.)
(R) Best HP FS (Other Fossil Furnace)	Cooling (Equip.)
(R) ESTAR HP Pt. FS (NG Furnace)	Heating (Equip.)
(R) ESTAR HP Pt. FS (NG Furnace)	Cooling (Equip.)
(R) Best HP FS (NG Boiler)	Heating (Equip.)
(R) Best HP FS (NG Boiler)	Cooling (Equip.)
(C) Best HP Pt. FS (Other Fossil Boiler)	Heating (Equip.)
(C) Best HP Pt. FS (Other Fossil Boiler)	Cooling (Equip.)
(C) Ref. Case Resist. WH	Water Heating
(C) ESTAR HP FS (RTU, Other Fossil Heat)	Heating (Equip.)
(C) ESTAR HP FS (RTU, Other Fossil Heat)	Cooling (Equip.)
(R) Electric FS (Secondary Fossil Heating)	Heating (Equip.)
(R) ESTAR 120V HPWH FS	Water Heating
(R) Best HPWH FS	Water Heating
(C) 90.1 Plug Loads	Computers and Electronics
(R) Ref. Case Other Fossil Boiler & AC	Heating (Equip.)
(R) Ref. Case Other Fossil Boiler & AC	Cooling (Equip.)
(R) Best HP Pt. FS (NG Furnace)	Heating (Equip.)
(R) Best HP Pt. FS (NG Furnace)	Cooling (Equip.)
(C) ESTAR HP FS (NG Furnace)	Heating (Equip.)
(C) ESTAR HP FS (NG Furnace)	Cooling (Equip.)
(C) ESTAR HP Pt. FS (RTU, NG Heat)	Heating (Equip.)
(C) ESTAR HP Pt. FS (RTU, NG Heat)	Cooling (Equip.)
(C) Best HP Pt. FS (RTU, Other Fossil Heat)	Heating (Equip.)
(C) Best HP Pt. FS (RTU, Other Fossil Heat)	Cooling (Equip.)
(C) Brk. HP FS (NG Furnace & AC)	Heating (Equip.)
(C) Brk. HP FS (NG Furnace & AC)	Cooling (Equip.)
(C) Ref. Case NG Furnace & AC	Heating (Equip.)
(C) Ref. Case NG Furnace & AC	Cooling (Equip.)
(R) Brk. HP TS (Resist.)	Heating (Equip.)
(R) Brk. HP TS (Resist.)	Cooling (Equip.)
(C) ESTAR HP Pt. FS (NG Furnace)	Heating (Equip.)
(C) ESTAR HP Pt. FS (NG Furnace)	Cooling (Equip.)
(R) Ref. Case GSHP	Heating (Equip.)
(R) Ref. Case GSHP	Cooling (Equip.)
(C) 90.1 Lighting	Lighting
(C) Ref. Case Fossil Other	Other
(C) Ref. Case Other Fossil Boiler & Chiller	Heating (Equip.)
(C) Ref. Case Other Fossil Boiler & Chiller	Cooling (Equip.)
(C) Best HP Pt. FS (Other Fossil Furnace & AC)	Heating (Equip.)
(C) Best HP Pt. FS (Other Fossil Furnace & AC)	Cooling (Equip.)
(R) Ref. Case Gas Range	Cooking
(C) Best HPWH FS	Water Heating
(R) Ref. Case Resist. Heat, No Cooling	Heating (Equip.)
(R) Ref. Case Resist. Heat, No Cooling	Cooling (Equip.)
(C) ESTAR HP FS (RTU, NG Heat)	Heating (Equip.)
(C) ESTAR HP FS (RTU, NG Heat)	Cooling (Equip.)
(R) Brk. HP FS (Other Fossil Furnace)	Heating (Equip.)
(R) Brk. HP FS (Other Fossil Furnace)	Cooling (Equip.)
(R) Ref. Case NGHP	Heating (Equip.)
(R) Ref. Case NGHP	Cooling (Equip.)
(R) ESTAR HP Pt. FS (Other Fossil Furnace)	Heating (Equip.)
(R) ESTAR HP Pt. FS (Other Fossil Furnace)	Cooling (Equip.)
(R) Ref. Case NG Heat, No Cooling	Heating (Equip.)
(R) Ref. Case NG Heat, No Cooling	Cooling (Equip.)
(C) Best HP Pt. FS (NG Boiler)	Heating (Equip.)
(C) Best HP Pt. FS (NG Boiler)	Cooling (Equip.)
(R) ENERGY STAR Dryer	Other
(C) Best HP FS (Other Fossil Boiler)	Heating (Equip.)
(C) Best HP FS (Other Fossil Boiler)	Cooling (Equip.)
(R) Best HP TS (Resist.)	Heating (Equip.)
(R) Best HP TS (Resist.)	Cooling (Equip.)
(C) Best HP FS (RTU, Other Fossil Heat)	Heating (Equip.)
(C) Best HP FS (RTU, Other Fossil Heat)	Cooling (Equip.)
(C) ESTAR HP TS (RTU, Resist. Heat)	Heating (Equip.)
(C) ESTAR HP TS (RTU, Resist. Heat)	Cooling (Equip.)
(C) Ref. Case GSHP	Heating (Equip.)
(C) Ref. Case GSHP	Cooling (Equip.)
(C) Best HP FS (RTU, NG Heat)	Heating (Equip.)
(C) Best HP FS (RTU, NG Heat)	Cooling (Equip.)
(R) Ref. Case NG Boiler & AC	Heating (Equip.)
(R) Ref. Case NG Boiler & AC	Cooling (Equip.)
(R) ESTAR HPWH TS	Water Heating
(R) Best HP FS (Other Fossil Boiler)	Heating (Equip.)
(R) Best HP FS (Other Fossil Boiler)	Cooling (Equip.)
(R) Ref. Case Resist. WH	Water Heating
(R) ENERGY STAR Electronics	Computers and Electronics
(C) ESTAR HPWH TS	Water Heating
(C) Best HP Pt. FS (NG Furnace & AC)	Heating (Equip.)
(C) Best HP Pt. FS (NG Furnace & AC)	Cooling (Equip.)
(R) Best HP Dryer FS	Other
(R) Ref. Case Fossil Other	Other
(C) Ref. Case RTU, NG Heat	Heating (Equip.)
(C) Ref. Case RTU, NG Heat	Cooling (Equip.)
(R) ENERGY STAR Pool Pumps	Other
(C) ESTAR HP FS (Other Fossil Furnace)	Heating (Equip.)
(C) ESTAR HP FS (Other Fossil Furnace)	Cooling (Equip.)
(R) ENERGY STAR Refrigerator	Refrigeration
(R) Best Electronics	Computers and Electronics
(C) Ref. Case RTU, Resist. Heat	Heating (Equip.)
(C) Ref. Case RTU, Resist. Heat	Cooling (Equip.)
(C) Induction Range FS	Cooking
(R) Best HP Pt. FS (NG Boiler)	Heating (Equip.)
(R) Best HP Pt. FS (NG Boiler)	Cooling (Equip.)
(R) Best Clothes Washer	Other
(C) Best HP Pt. FS (RTU, NG Heat)	Heating (Equip.)
(C) Best HP Pt. FS (RTU, NG Heat)	Cooling (Equip.)
(C) Best Lighting	Lighting
(C) Brk. HP FS (Other Fossil Furnace & AC)	Heating (Equip.)
(C) Brk. HP FS (Other Fossil Furnace & AC)	Cooling (Equip.)
(R) Ref. Case Electric Other	Other
(R) ESTAR HP Pt. FS (Other Fossil Heat, No Cool)	Heating (Equip.)
(R) ESTAR HP Pt. FS (Other Fossil Heat, No Cool)	Cooling (Equip.)
(R) Ref. Case Electronics	Computers and Electronics
(C) Ref. Case RTHP	Heating (Equip.)
(C) Ref. Case RTHP	Cooling (Equip.)
(R) Ref. Case Dishwasher	Other
(R) Ref. Case Electric Range	Cooking
(R) Brk. HP FS (Other Fossil Boiler)	Heating (Equip.)
(R) Brk. HP FS (Other Fossil Boiler)	Cooling (Equip.)
(R) Brk. HP FS (NG Furnace)	Heating (Equip.)
(R) Brk. HP FS (NG Furnace)	Cooling (Equip.)
(R) Best HPWH TS	Water Heating
(R) Best HP FS (Other Fossil Heat, No Cool)	Heating (Equip.)
(R) Best HP FS (Other Fossil Heat, No Cool)	Cooling (Equip.)
(R) Ref. Case Lighting	Lighting
(R) Ref. Case Other Fossil Heat, No Cooling	Heating (Equip.)
(R) Ref. Case Other Fossil Heat, No Cooling	Cooling (Equip.)
(R) ESTAR 240V HPWH FS	Water Heating
(C) Best Refrigeration	Refrigeration
(R) ESTAR HP Pt. FS (NG Heat, No Cool)	Heating (Equip.)
(R) ESTAR HP Pt. FS (NG Heat, No Cool)	Cooling (Equip.)
(R) Brk. HP FS (NG Heat, No Cool)	Heating (Equip.)
(R) Brk. HP FS (NG Heat, No Cool)	Cooling (Equip.)
(C) Best HP FS (Other Fossil Furnace & AC)	Heating (Equip.)
(C) Best HP FS (Other Fossil Furnace & AC)	Cooling (Equip.)
(R) Brk. HP LFL	Heating (Equip.)
(R) Brk. HP LFL	Cooling (Equip.)
(C) Best Plug Loads	Computers and Electronics
(C) Ref. Case ASHP	Heating (Equip.)
(C) Ref. Case ASHP	Cooling (Equip.)
(R) Best Refrigerator	Refrigeration
(R) Ref. Case Pool Pumps	Other
(R) Ref. Case NG Furnace & AC	Heating (Equip.)
(R) Ref. Case NG Furnace & AC	Cooling (Equip.)
(C) Ref. Case Ventilation	Ventilation
(R) Best HP Pt. FS (Other Fossil Boiler)	Heating (Equip.)
(R) Best HP Pt. FS (Other Fossil Boiler)	Cooling (Equip.)
(R) Ref. Case Resist. Heat & AC	Heating (Equip.)
(R) Ref. Case Resist. Heat & AC	Cooling (Equip.)
(R) ENERGY STAR Clothes Washer	Other
(R) Induction Range FS	Cooking
(C) Best HPWH TS	Water Heating
(R) ESTAR GSHP (Other Fossil Furnace)	Heating (Equip.)
(R) ESTAR GSHP (Other Fossil Furnace)	Cooling (Equip.)
(R) ESTAR HP FS (NG Heat, No Cool)	Heating (Equip.)
(R) ESTAR HP FS (NG Heat, No Cool)	Cooling (Equip.)
(C) ESTAR HP Pt. FS (Other Fossil Furnace)	Heating (Equip.)
(C) ESTAR HP Pt. FS (Other Fossil Furnace)	Cooling (Equip.)
(R) Ref. Case Electric Dryer	Other
(C) ESTAR HPWH FS	Water Heating
(R) Ref. Case ASHP	Heating (Equip.)
(R) Ref. Case ASHP	Cooling (Equip.)
(R) Best HP FS (NG Furnace)	Heating (Equip.)
(R) Best HP FS (NG Furnace)	Cooling (Equip.)
(C) Ref. Case Gas WH	Water Heating
(R) Best HP Dryer TS	Other
(R) Ref. Case Clothes Washer	Other
(C) Ref. Case Lighting	Lighting
(R) Ref. Case Secondary Fossil Heating	Heating (Equip.)
(R) Ref. Case Refrigerator	Refrigeration
(C) Ref. Case Electric Range	Cooking
(C) Ref. Case Other Fossil Furnace & AC	Heating (Equip.)
(C) Ref. Case Other Fossil Furnace & AC	Cooling (Equip.)
(C) Ref. Case Misc. Electric Appliances	Other
(R) ENERGY STAR Dishwasher	Other
(R) ESTAR HP FS (Other Fossil Heat, No Cool)	Heating (Equip.)
(R) ESTAR HP FS (Other Fossil Heat, No Cool)	Cooling (Equip.)
(R) Ref. Case Secondary Electric Heating	Heating (Equip.)
(R) ESTAR HP FS (Other Fossil Furnace)	Heating (Equip.)
(R) ESTAR HP FS (Other Fossil Furnace)	Cooling (Equip.)
(C) Ref. Case Electric Other	Other
