group_ann	original	description	in.clothes_dryer	upgrade	shape_ts_dry	version
res_dry_ann_1	fossil clothes dryer	fossil clothes dryer	"Gas, 100% Usage"	0	res_dry_ts_1	7/19/24
res_dry_ann_1	fossil clothes dryer	fossil clothes dryer	"Gas, 120% Usage"	0	res_dry_ts_1	7/19/24
res_dry_ann_1	fossil clothes dryer	fossil clothes dryer	"Gas, 80% Usage"	0	res_dry_ts_1	7/19/24
res_dry_ann_1	fossil clothes dryer	fossil clothes dryer	None	0	res_dry_ts_1	7/19/24
res_dry_ann_1	fossil clothes dryer	fossil clothes dryer	"Propane, 100% Usage"	0	res_dry_ts_1	7/19/24
res_dry_ann_1	fossil clothes dryer	fossil clothes dryer	"Propane, 120% Usage"	0	res_dry_ts_1	7/19/24
res_dry_ann_1	fossil clothes dryer	fossil clothes dryer	"Propane, 80% Usage"	0	res_dry_ts_1	7/19/24
res_dry_ann_2	fossil clothes dryer	fossil clothes dryer to heat pump	"Gas, 100% Usage"	11	res_dry_ts_3	7/19/24
res_dry_ann_2	fossil clothes dryer	fossil clothes dryer to heat pump	"Gas, 120% Usage"	11	res_dry_ts_3	7/19/24
res_dry_ann_2	fossil clothes dryer	fossil clothes dryer to heat pump	"Gas, 80% Usage"	11	res_dry_ts_3	7/19/24
res_dry_ann_2	fossil clothes dryer	fossil clothes dryer to heat pump	None	11	res_dry_ts_3	7/19/24
res_dry_ann_2	fossil clothes dryer	fossil clothes dryer to heat pump	"Propane, 100% Usage"	11	res_dry_ts_3	7/19/24
res_dry_ann_2	fossil clothes dryer	fossil clothes dryer to heat pump	"Propane, 120% Usage"	11	res_dry_ts_3	7/19/24
res_dry_ann_2	fossil clothes dryer	fossil clothes dryer to heat pump	"Propane, 80% Usage"	11	res_dry_ts_3	7/19/24
res_dry_ann_3	ER clothes dryer	ER clothes dryer	"Electric, 100% Usage"	0	res_dry_ts_2	7/19/24
res_dry_ann_3	ER clothes dryer	ER clothes dryer	"Electric, 120% Usage"	0	res_dry_ts_2	7/19/24
res_dry_ann_3	ER clothes dryer	ER clothes dryer	"Electric, 80% Usage"	0	res_dry_ts_2	7/19/24
res_dry_ann_4	ER clothes dryer	ER clothes dryer to heat pump	"Electric, 100% Usage"	11	res_dry_ts_3	7/19/24
res_dry_ann_4	ER clothes dryer	ER clothes dryer to heat pump	"Electric, 120% Usage"	11	res_dry_ts_3	7/19/24
res_dry_ann_4	ER clothes dryer	ER clothes dryer to heat pump	"Electric, 80% Usage"	11	res_dry_ts_3	7/19/24
res_dry_ann_4	ER clothes dryer	ER clothes dryer to heat pump	"Gas, 100% Usage"	11	res_dry_ts_3	7/19/24
res_dry_ann_4	ER clothes dryer	ER clothes dryer to heat pump	"Gas, 120% Usage"	11	res_dry_ts_3	7/19/24
res_dry_ann_4	ER clothes dryer	ER clothes dryer to heat pump	"Gas, 80% Usage"	11	res_dry_ts_3	7/19/24
res_dry_ann_4	ER clothes dryer	ER clothes dryer to heat pump	"Propane, 100% Usage"	11	res_dry_ts_3	7/19/24
res_dry_ann_4	ER clothes dryer	ER clothes dryer to heat pump	"Propane, 120% Usage"	11	res_dry_ts_3	7/19/24
res_dry_ann_4	ER clothes dryer	ER clothes dryer to heat pump	"Propane, 80% Usage"	11	res_dry_ts_3	7/19/24