shape_ts	description	in.clothes_dryer	upgrade	version
res_dry_ts_1	fossil clothes dryer	"Gas, 100% Usage"	0	7/19/24
res_dry_ts_1	fossil clothes dryer	"Gas, 120% Usage"	0	7/19/24
res_dry_ts_1	fossil clothes dryer	"Gas, 80% Usage"	0	7/19/24
res_dry_ts_1	fossil clothes dryer	None	0	7/19/24
res_dry_ts_1	fossil clothes dryer	"Propane, 100% Usage"	0	7/19/24
res_dry_ts_1	fossil clothes dryer	"Propane, 120% Usage"	0	7/19/24
res_dry_ts_1	fossil clothes dryer	"Propane, 80% Usage"	0	7/19/24
res_dry_ts_2	ER clothes dryer	"Electric, 100% Usage"	0	7/19/24
res_dry_ts_2	ER clothes dryer	"Electric, 120% Usage"	0	7/19/24
res_dry_ts_2	ER clothes dryer	"Electric, 80% Usage"	0	7/19/24
res_dry_ts_3	HP clothes dryer	"Electric, 100% Usage"	11	7/19/24
res_dry_ts_3	HP clothes dryer	"Electric, 120% Usage"	11	7/19/24
res_dry_ts_3	HP clothes dryer	"Electric, 80% Usage"	11	7/19/24
res_dry_ts_3	HP clothes dryer	"Gas, 100% Usage"	11	7/19/24
res_dry_ts_3	HP clothes dryer	"Gas, 120% Usage"	11	7/19/24
res_dry_ts_3	HP clothes dryer	"Gas, 80% Usage"	11	7/20/24
res_dry_ts_3	HP clothes dryer	None	11	7/21/24
res_dry_ts_3	HP clothes dryer	"Propane, 100% Usage"	11	7/22/24
res_dry_ts_3	HP clothes dryer	"Propane, 120% Usage"	11	7/23/24
res_dry_ts_3	HP clothes dryer	"Propane, 80% Usage"	11	7/24/24