group_ann	original	description	in.water_heater_efficiency	upgrade	shape_ts_wh	version
res_wh_ann_1	fossil WH	fossil WH	FIXME Fuel Oil Indirect	0	res_wh_ts_1	7/19/24
res_wh_ann_1	fossil WH	fossil WH	Fuel Oil Premium	0	res_wh_ts_1	7/19/24
res_wh_ann_1	fossil WH	fossil WH	Fuel Oil Standard	0	res_wh_ts_1	7/19/24
res_wh_ann_1	fossil WH	fossil WH	Natural Gas Premium	0	res_wh_ts_1	7/19/24
res_wh_ann_1	fossil WH	fossil WH	Natural Gas Standard	0	res_wh_ts_1	7/19/24
res_wh_ann_1	fossil WH	fossil WH	Natural Gas Tankless	0	res_wh_ts_1	7/19/24
res_wh_ann_1	fossil WH	fossil WH	Other Fuel	0	res_wh_ts_1	7/19/24
res_wh_ann_1	fossil WH	fossil WH	Propane Premium	0	res_wh_ts_1	7/19/24
res_wh_ann_1	fossil WH	fossil WH	Propane Standard	0	res_wh_ts_1	7/19/24
res_wh_ann_1	fossil WH	fossil WH	Propane Tankless	0	res_wh_ts_1	7/19/24
res_wh_ann_2	fossil WH	fossil WH to HPWH	FIXME Fuel Oil Indirect	11	res_wh_ts_3	7/19/24
res_wh_ann_2	fossil WH	fossil WH to HPWH	Fuel Oil Premium	11	res_wh_ts_3	7/19/24
res_wh_ann_2	fossil WH	fossil WH to HPWH	Fuel Oil Standard	11	res_wh_ts_3	7/19/24
res_wh_ann_2	fossil WH	fossil WH to HPWH	Natural Gas Premium	11	res_wh_ts_3	7/19/24
res_wh_ann_2	fossil WH	fossil WH to HPWH	Natural Gas Standard	11	res_wh_ts_3	7/19/24
res_wh_ann_2	fossil WH	fossil WH to HPWH	Natural Gas Tankless	11	res_wh_ts_3	7/19/24
res_wh_ann_2	fossil WH	fossil WH to HPWH	Other Fuel	11	res_wh_ts_3	7/19/24
res_wh_ann_2	fossil WH	fossil WH to HPWH	Propane Premium	11	res_wh_ts_3	7/19/24
res_wh_ann_2	fossil WH	fossil WH to HPWH	Propane Standard	11	res_wh_ts_3	7/19/24
res_wh_ann_2	fossil WH	fossil WH to HPWH	Propane Tankless	11	res_wh_ts_3	7/19/24
res_wh_ann_3	ER WH	ER WH	Electric Premium	0	res_wh_ts_2	7/19/24
res_wh_ann_3	ER WH	ER WH	Electric Standard	0	res_wh_ts_2	7/19/24
res_wh_ann_3	ER WH	ER WH	Electric Tankless	0	res_wh_ts_2	7/19/24
res_wh_ann_4	ER WH	ER WH to HPWH	Electric Premium	11	res_wh_ts_3	7/19/24
res_wh_ann_4	ER WH	ER WH to HPWH	Electric Standard	11	res_wh_ts_3	7/19/24
res_wh_ann_4	ER WH	ER WH to HPWH	Electric Tankless	11	res_wh_ts_3	7/19/24
res_wh_ann_5	HPWH	HPWH	Electric Heat Pump, 50 gal, 3.45 UEF	0	res_wh_ts_3	7/19/24